local_datetime,NB_average_delay,SB_average_delay,NB_average_traveltime,SB_average_traveltime,min_units,NB_average_speed,SB_average_speed,speed_units
5/29/2025 20:00,0.03,0,0.62,0.55,mins,43.3,47.8,mph
5/29/2025 21:00,0,0,0.63,0.56,mins,42,46.9,mph
5/29/2025 22:00,0.04,0,0.66,0.55,mins,40.4,47.6,mph
5/29/2025 23:00,0.03,0,0.61,0.54,mins,43.8,48.7,mph
5/30/2025 0:00,0.01,0,0.61,0.54,mins,43.2,49.1,mph
5/30/2025 1:00,0.02,0,0.57,0.52,mins,46.4,50.6,mph
5/30/2025 2:00,0,0,0.58,0.55,mins,45.5,48.5,mph
5/30/2025 3:00,0.05,0,0.67,0.54,mins,39.5,48.9,mph
5/30/2025 4:00,0.01,0,0.54,0.58,mins,48.8,45.1,mph
5/30/2025 5:00,0.01,0,0.57,0.55,mins,46.7,47.7,mph
5/30/2025 6:00,0.03,0,0.62,0.54,mins,42.7,48.6,mph
5/30/2025 7:00,0.14,0,0.77,0.59,mins,35.2,45.1,mph
5/30/2025 8:00,0.13,0,0.76,0.55,mins,35.4,48.4,mph
5/30/2025 9:00,0.07,0,0.69,0.55,mins,38.9,47.5,mph
5/30/2025 10:00,0.07,0.01,0.68,0.56,mins,39.4,46.9,mph
5/30/2025 11:00,0.07,0,0.7,0.54,mins,38.3,49,mph
5/30/2025 12:00,0.07,0,0.67,0.55,mins,40,47.9,mph
5/30/2025 13:00,0.07,0,0.7,0.56,mins,38.3,47.5,mph
5/30/2025 14:00,0.09,0.01,0.69,0.59,mins,38.4,45.1,mph
5/30/2025 15:00,0.13,0.01,0.74,0.57,mins,36.8,46.2,mph
5/30/2025 16:00,0.12,0.01,0.72,0.56,mins,37.5,47.6,mph
5/30/2025 17:00,0.05,0,0.66,0.55,mins,40.9,48,mph
5/30/2025 18:00,0.04,0.03,0.61,0.59,mins,43.7,45.7,mph
5/30/2025 19:00,0.01,0.01,0.57,0.58,mins,46.6,46,mph
5/30/2025 20:00,0.03,0.05,0.63,0.63,mins,42.4,44,mph
5/30/2025 21:00,0.04,0,0.63,0.57,mins,42.8,46.2,mph
5/30/2025 22:00,0.01,0,0.58,0.55,mins,45.9,48.3,mph
5/30/2025 23:00,0.06,0,0.66,0.52,mins,40,50.4,mph
5/31/2025 0:00,0.03,0,0.58,0.52,mins,46.8,50.6,mph
5/31/2025 1:00,0,0,0.53,0.53,mins,49.7,49.4,mph
5/31/2025 2:00,0,0,0.58,0.57,mins,45.5,46.2,mph
5/31/2025 3:00,0,0,0.56,0.53,mins,47.1,50.5,mph
5/31/2025 4:00,0,0,0.52,0.55,mins,50.4,48,mph
5/31/2025 5:00,0.02,0,0.58,0.52,mins,46.4,51.1,mph
5/31/2025 6:00,0.03,0,0.62,0.53,mins,42.4,50,mph
5/31/2025 7:00,0.03,0,0.63,0.51,mins,41.9,51.4,mph
5/31/2025 8:00,0.1,0,0.68,0.54,mins,39.9,48.7,mph
5/31/2025 9:00,0.03,0,0.59,0.54,mins,45.3,49.3,mph
5/31/2025 10:00,0.13,0.01,0.75,0.57,mins,36.2,46.5,mph
5/31/2025 11:00,0.07,0.01,0.67,0.54,mins,40,48.7,mph
5/31/2025 12:00,0.08,0.01,0.67,0.56,mins,40.8,47.6,mph
5/31/2025 13:00,0.02,0,0.62,0.56,mins,42.8,47.5,mph
5/31/2025 14:00,0.03,0,0.63,0.53,mins,42.4,49.4,mph
5/31/2025 15:00,0.02,0.01,0.6,0.54,mins,44,49.1,mph
5/31/2025 16:00,0.08,0.02,0.67,0.58,mins,39.4,46.2,mph
5/31/2025 17:00,0.02,0.01,0.58,0.54,mins,45.3,48.9,mph
5/31/2025 18:00,0.01,0,0.58,0.55,mins,45.9,48.5,mph
5/31/2025 19:00,0.06,0,0.64,0.53,mins,41.6,49.3,mph
5/31/2025 20:00,0.02,0,0.61,0.55,mins,43.1,48,mph
5/31/2025 21:00,0.05,0,0.66,0.56,mins,40.7,47.5,mph
5/31/2025 22:00,0.04,0,0.66,0.56,mins,40.3,46.8,mph
5/31/2025 23:00,0.02,0,0.66,0.53,mins,39.9,49.5,mph
6/1/2025 0:00,0,0,0.57,0.53,mins,46.4,49.5,mph
6/1/2025 1:00,0,0,0.54,0.54,mins,49.6,49.2,mph
6/1/2025 2:00,0,0.01,0.58,0.65,mins,45.5,40.8,mph
6/1/2025 3:00,0,0,0.55,0.55,mins,48.4,48.1,mph
6/1/2025 4:00,0,0,0.59,0.57,mins,44.7,46.5,mph
6/1/2025 5:00,0,0,0.55,0.52,mins,48.2,50.4,mph
6/1/2025 6:00,0.04,0,0.57,0.54,mins,47,48.5,mph
6/1/2025 7:00,0.02,0,0.59,0.52,mins,44.8,51,mph
6/1/2025 8:00,0.09,0,0.71,0.52,mins,38.6,51,mph
6/1/2025 9:00,0.03,0,0.6,0.55,mins,44.4,48,mph
6/1/2025 10:00,0.02,0,0.6,0.53,mins,44.3,49.5,mph
6/1/2025 11:00,0.06,0,0.64,0.53,mins,41.7,49.7,mph
6/1/2025 12:00,0.03,0,0.59,0.53,mins,45.4,50.1,mph
6/1/2025 13:00,0.02,0.03,0.57,0.55,mins,46.7,49.9,mph
6/1/2025 14:00,0.02,0,0.57,0.54,mins,46.7,49.3,mph
6/1/2025 15:00,0.01,0,0.56,0.56,mins,46.9,47.6,mph
6/1/2025 16:00,0.06,0,0.64,0.56,mins,42.5,47.1,mph
6/1/2025 17:00,0.01,0.01,0.56,0.56,mins,47.5,47.9,mph
6/1/2025 18:00,0.02,0,0.6,0.53,mins,43.9,49.4,mph
6/1/2025 19:00,0.03,0,0.61,0.53,mins,43.7,49.7,mph
6/1/2025 20:00,0.03,0,0.64,0.57,mins,41.6,46.3,mph
6/1/2025 21:00,0.03,0,0.63,0.61,mins,42.6,43.7,mph
6/1/2025 22:00,0.06,0,0.67,0.53,mins,40,49.4,mph
6/1/2025 23:00,0,0,0.56,0.53,mins,47.2,49.7,mph
6/2/2025 0:00,0,0,0.54,0.51,mins,48.7,51.4,mph
6/2/2025 1:00,0,0,0.53,0.56,mins,49.6,47.2,mph
