local_datetime,NB_average_delay,SB_average_delay,NB_average_traveltime,SB_average_traveltime,min_units,NB_average_speed,SB_average_speed,speed_units
6/23/2025 21:00,0.18,0.12,0.62,0.56,mins,27.5,28.1,mph
6/23/2025 22:00,0.09,0.03,0.51,0.47,mins,34,33.6,mph
6/23/2025 23:00,0.04,0.04,0.48,0.47,mins,34.4,33.6,mph
6/24/2025 0:00,0,0.02,0.36,0.42,mins,45.3,37.8,mph
6/24/2025 1:00,0,0.01,0.38,0.38,mins,43.1,41.3,mph
6/24/2025 2:00,0.01,0.08,0.42,0.45,mins,39.8,35.9,mph
6/24/2025 3:00,0,0.02,0.37,0.4,mins,44.4,39.9,mph
6/24/2025 4:00,0,0,0.38,0.36,mins,43.8,44,mph
6/24/2025 5:00,0.08,0.05,0.5,0.45,mins,35,35.4,mph
6/24/2025 6:00,0.19,0.12,0.63,0.56,mins,27.6,28.2,mph
6/24/2025 7:00,0.15,0.08,0.58,0.52,mins,30.3,31.2,mph
6/24/2025 8:00,0.13,0.07,0.58,0.5,mins,29.4,31.4,mph
6/24/2025 9:00,0.18,0.04,0.62,0.48,mins,29.1,33,mph
6/24/2025 10:00,0.06,0.14,0.47,0.58,mins,36.2,27.1,mph
6/24/2025 11:00,0.08,0.12,0.48,0.56,mins,36.4,29.1,mph
6/24/2025 12:00,0.15,0.06,0.59,0.5,mins,29,31.8,mph
6/24/2025 13:00,0.2,0.04,0.66,0.47,mins,25.4,33.5,mph
6/24/2025 14:00,0.14,0.04,0.59,0.47,mins,29,33.4,mph
6/24/2025 15:00,0.13,0.05,0.57,0.49,mins,30.3,31.8,mph
6/24/2025 16:00,0.17,0.07,0.6,0.51,mins,29.7,30.9,mph
6/24/2025 17:00,0.24,0.04,0.69,0.47,mins,25,33.2,mph
6/24/2025 18:00,0.09,0.01,0.5,0.45,mins,35.1,34.6,mph
6/24/2025 19:00,0.04,0.08,0.44,0.52,mins,38.1,30.5,mph
6/24/2025 20:00,0.14,0.1,0.58,0.54,mins,29.5,29.2,mph
6/24/2025 21:00,0.13,0.14,0.59,0.58,mins,28.1,27.4,mph
6/24/2025 22:00,0.16,0.05,0.6,0.48,mins,28.4,32.6,mph
6/24/2025 23:00,0.05,0.09,0.46,0.52,mins,36.2,30.6,mph
6/25/2025 0:00,0.02,0.01,0.42,0.42,mins,39.1,37,mph
6/25/2025 1:00,0.01,0.04,0.39,0.47,mins,42,33.3,mph
6/25/2025 2:00,0.03,0,0.43,0.39,mins,38.3,40.9,mph
6/25/2025 3:00,0.02,0,0.4,0.37,mins,41.1,42.3,mph
6/25/2025 4:00,0.05,0,0.43,0.4,mins,39,40,mph
6/25/2025 5:00,0.01,0.03,0.4,0.46,mins,41.6,34.3,mph
6/25/2025 6:00,0.08,0.09,0.52,0.52,mins,31.8,30.2,mph
6/25/2025 7:00,0.19,0.04,0.64,0.47,mins,26.8,33.1,mph
6/25/2025 8:00,0.24,0.06,0.69,0.5,mins,24.9,31.6,mph
6/25/2025 9:00,0.11,0.06,0.54,0.5,mins,32.4,31.9,mph
6/25/2025 10:00,0.18,0.13,0.63,0.56,mins,28.3,28.1,mph
6/25/2025 11:00,0.11,0.05,0.53,0.48,mins,33.2,33.2,mph
6/25/2025 12:00,0.27,0.04,0.73,0.48,mins,23.5,32.7,mph
6/25/2025 13:00,0.18,0.11,0.63,0.55,mins,27.3,29,mph
6/25/2025 14:00,0.26,0.05,0.71,0.48,mins,24.5,32.6,mph
6/25/2025 15:00,0.15,0.08,0.6,0.52,mins,29,30.3,mph
6/25/2025 16:00,0.25,0.03,0.7,0.46,mins,24.1,34,mph
6/25/2025 17:00,0.14,0.04,0.58,0.48,mins,30.9,32.9,mph
